id	output
{"address":"0x47a6FCC93BD8F7b49bCaFfd23121B263A91a6BB4","chainId":56}	{"name": "ClayStak", "symbol": "ClayStak", "decimals": 0}
{"address":"0x481f3f8F7D78aF9741c930336fBf031a5CcbEB74","chainId":56}	{"name": "PLAY Token", "symbol": "PLAY", "decimals": 9}
{"address":"0x2bc76B106b2C7e6eBb53231779310098f5973d52","chainId":56}	{"name": "TiredOfBeingScammed", "symbol": "TOBS", "decimals": 18}
{"address":"0xF5c6fcbc56EbE676665E308319aeB492Fc29D02d","chainId":56}	{"name": "tttt", "symbol": "tttt", "decimals": 18}
{"address":"0xf3f2C3B66b21e54A64C438Bd497a0eA24DD7DEb9","chainId":56}	{"name": "FISTYS", "symbol": "FISTYS", "decimals": 9}
{"address":"0x0d19AC94fa9D8dD3F51BB7104Aa34D5A4B3Abd13","chainId":56}	{"name": "ANVIDACOIN", "symbol": "AVDC", "decimals": 18}
{"address":"0xB0a52bF90Fc60B35AC880B1c19615D37404c5bac","chainId":56}	{"name": "text Token", "symbol": "texttext", "decimals": 9}
{"address":"0x291480AE24620454ac1048e2ACAA8329830a757f","chainId":56}	{"name": "USDT", "symbol": "USDT", "decimals": 18}
{"address":"0xFECA7bf380bc4324Ab12cF1B800dF03524442F2B","chainId":56}	{"name": "LUX CHAIN", "symbol": "LUX", "decimals": 18}
{"address":"0x20335B95379312b35d0214345218fee8584BF958","chainId":56}	{"name": "McFLOKI", "symbol": "McFLOKI", "decimals": 18}
{"address":"0x05aD6E30A855BE07AfA57e08a4f30d00810a402e","chainId":56}	{"name": "Tiny Coin", "symbol": "TINC", "decimals": 18}
{"address":"0xd10332818D6A9B4b84bf5d87DbF9D80012FDF913","chainId":56}	{"name": "Marhaba Network", "symbol": "MRHB", "decimals": 18}
{"address":"0x598dBAB229Db4c8887BB77F7F8da9Af669585d44","chainId":56}	{"name": "XW", "symbol": "XW", "decimals": 9}
{"address":"0x2c44b726ADF1963cA47Af88B284C06f30380fC78","chainId":56}	{"name": "ConstitutionDAO", "symbol": "PEOPLE", "decimals": 18}
{"address":"0x807958Ed9510CFd0Ec0236DF0bBB49337FE8893E","chainId":56}	{"name": "Ceres DAO", "symbol": "CRS", "decimals": 18}
{"address":"0x6C95c97614602B1cBCc2f9D8F58Dec260d8a9d66","chainId":56}	{"name": "text Token", "symbol": "texttext", "decimals": 9}
{"address":"0xF602A45812040D90B202355bdc05438918CD3FE3","chainId":56}	{"name": "Poison.Finance Gold Potion", "symbol": "pGOLD", "decimals": 18}
{"address":"0x0D40cCF82E4b5723C6574f5442fa10609067CCbC","chainId":56}	{"name": "Reality Metaverse", "symbol": "RLTM", "decimals": 18}
{"address":"0x970B9bB2C0444F5E81e9d0eFb84C8ccdcdcAf84d","chainId":1}	{"name": "Fuse Token", "symbol": "FUSE", "decimals": 18}
{"address":"0xC1D0AEAfAA1C4a631FD5b96dDD138E71c5DE2B8b","chainId":1}	{"name": "Squatty", "symbol": "SQUAT", "decimals": 18}
{"address":"0x16BA14849F8336e205a54ea0fAc41CF3600Ba4af","chainId":1}	{"name": "FUKPSYOP", "symbol": "FPSYOP", "decimals": 18}
{"address":"0x6241e10A85ecC0DA95142Bd60505025689801985","chainId":1}	{"name": "AiTrolls", "symbol": "AiTrolls", "decimals": 18}
{"address":"0x6967958E35aE39C2F1f40B6e7C306489386F5A30","chainId":1}	{"name": "POPPET", "symbol": "PPET", "decimals": 18}
{"address":"0xaa721528396c3E7923d233738B7644E5F88D99E8","chainId":1}	{"name": "Brian the Token", "symbol": "Brian", "decimals": 18}
{"address":"0x55c5ecC7487205aD38c8bA55F4604eEbB3b05143","chainId":56}	{"name": "Cyber Pepa", "symbol": "$CPEPA", "decimals": 18}
{"address":"0x05a20A33BAbdE1B56c8FdA50407C5C07bF7b7147","chainId":56}	{"name": "FIssds Token", "symbol": "FIccdsdsA", "decimals": 9}
{"address":"0xEbC6425e358D15f5BD49f1b3836Ee7E001549C4E","chainId":56}	{"name": "tex", "symbol": "text", "decimals": 9}
{"address":"0x01cE1FD5932719d12cfD9787807015Cb08ff5F1A","chainId":56}	{"name": "SQUID KING", "symbol": "$QUID", "decimals": 18}
{"address":"0x9d6BDda22f5d415C68235c9f221318f97269A84C","chainId":56}	{"name": "McFLOKI", "symbol": "McFLOKI", "decimals": 18}
{"address":"0xb7242a219983648EAE123Df015eEa4EEb64de316","chainId":56}	{"name": "TEST", "symbol": "TEST", "decimals": 18}
{"address":"0x227a3EF4d41d0215123f3197Faa087Bf71d2236a","chainId":56}	{"name": "Space Corsair Key", "symbol": "SCK", "decimals": 18}
{"address":"0x1ce53af8c86fCbf507E8f3cd6d2B1fdE1981D6D1","chainId":56}	{"name": "CM", "symbol": "CM", "decimals": 18}
{"address":"0x791f0a73720Ef7C71e679224994f8e1d0De23C95","chainId":56}	{"name": "SAILING", "symbol": "SAL", "decimals": 18}
{"address":"0x1e05F5a582E45b58Cba5fA318D10344a77FB1D94","chainId":56}	{"name": "All In AI", "symbol": "AIAI", "decimals": 18}
{"address":"0xEDaC0c4503fcEEe2061a8fC0926cd2972bEeEE32","chainId":56}	{"name": "SJC Token", "symbol": "SJC", "decimals": 18}
{"address":"0x7F1921FF164a5597F0108c19E15a80294e69FFA1","chainId":56}	{"name": "HunterCoin", "symbol": "HTC", "decimals": 18}
{"address":"0x5FB070cAEd8B2CDf527642c78B754848b41253fc","chainId":56}	{"name": "CSL", "symbol": "CSL", "decimals": 18}
{"address":"0x7A801edB0FBEc831499490f9Df42eFdF164a31Fa","chainId":56}	{"name": "BNB4.0", "symbol": "BNB4.0", "decimals": 18}
{"address":"0xdb9eaeEcBfF636E218423A4c40baf778F0aD764E","chainId":56}	{"name": "ArbGPT", "symbol": "ARBGPT", "decimals": 18}
